phage,QatABCD,RADAR,Zorya Type I,CBASS Type II,TerY-P,CBASS Type III,AbiE,IetAS,Septu,Wadjet Type I,Druantia Type III,CBASS Type IIv,Gao System 20,AVAST Type V,Gabija
Pa3,0.2,2.0,0.0,0.3,0.7,0.2,3.0,2.0,1.0,1.2,2.0,1.0,1.2,1.2,2.0
Pa15,0.1,0.3,0.0,0.0,0.3,0.1,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3
Pa28,0.1,0.6,0.0,0.05,0.6,0.1,1.0,0.6,0.6,0.8,0.6,0.4,0.6,0.6,0.6
Pa36,0.6,0.5,0.2,0.2,0.2,0.0,1.2,0.5,0.5,0.5,0.7,0.5,0.5,0.0,0.7
Pa40,0.1,0.2,0.2,0.0,0.2,0.4,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Pa29,0.3,2.2,0.0,0.3,0.3,0.2,3.0,1.0,1.2,1.2,1.5,0.3,1.0,1.0,2.5
Pa22,0.3,1.0,0.0,0.3,0.2,0.1,2.0,1.2,1.2,1.0,1.2,1.0,1.0,1.0,2.0
Pa6,0.2,1.2,0.0,0.3,0.5,0.2,4.0,1.2,1.0,1.2,2.0,0.5,1.0,1.2,2.5
Pa18,0.2,0.2,0.0,0.3,1.0,0.1,1.5,1.5,1.0,1.2,1.0,1.0,1.0,1.0,1.2
Pa4,0.2,2.0,0.0,0.3,0.5,0.2,4.0,2.0,1.0,1.2,3.0,1.0,1.2,1.2,2.5
Pa25,0.2,2.0,0.0,0.2,0.3,0.2,3.0,1.0,0.8,1.0,1.1,0.3,0.8,0.8,2.0
Pa10,0.1,0.2,0.2,0.1,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.3
Pa12,0.1,0.2,0.3,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Pa21,0.0,0.2,0.5,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0.2
Pa24,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Pa2,0.1,0.2,0.2,0.1,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3
Pa23,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Pa32,0.1,0.0,0.3,0.2,0.2,0.5,0.4,0.4,0.4,0.3,0.3,0.5,0.3,0.3,1.0
Pa33,0.05,0.1,0.1,0.05,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2
Pa7,0.0,0.1,0.2,0.1,0.2,0.5,0.3,0.2,0.3,0.3,0.2,0.1,0.2,0.2,0.6
Pa35,0.1,0.2,0.3,0.1,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5
Pa34,0.1,0.1,0.3,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5
Pa49,0.1,0.0,0.3,0.0,0.2,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.4
