phage,morphology
Pa1,Podoviridae
Pa2,Myoviridae
Pa3,Podoviridae
Pa4,Podoviridae
Pa5,Podoviridae
Pa6,Podoviridae
Pa7,Myoviridae
Pa8,Podoviridae
Pa9,M and P
Pa10,Myoviridae
Pa11,"S, M, P"
Pa12,Myoviridae
Pa13,Podoviridae
Pa14,M and S
Pa15,Siphoviridae
Pa16,Siphoviridae
Pa17,P and S
Pa18,Podoviridae
Pa19,Podoviridae
Pa20,Myoviridae
Pa21,Myoviridae
Pa22,Podoviridae
Pa23,Myoviridae
Pa24,Myoviridae
Pa25,Podoviridae
Pa26,Siphoviridae
Pa27,Myoviridae
Pa28,Siphoviridae
Pa29,Podoviridae
Pa30,Myoviridae
Pa31,Podoviridae
Pa32,Myoviridae
Pa33,Myoviridae
Pa34,Myoviridae
Pa35,Myoviridae
Pa36,Jumbo phage
Pa37,Podoviridae
Pa38,Podoviridae
Pa39,Podoviridae
Pa40,Podoviridae
Pa41,Myoviridae
Pa42,Podoviridae
Pa43,Podoviridae
Pa44,Podoviridae
Pa45,Siphoviridae
Pa46,Podoviridae
Pa47,Siphoviridae
Pa48,Podoviridae
Pa49,Myoviridae
Pa50,Myoviridae
Pa51,Myoviridae
