phage,AVAST Type V,AbiEii,CBASS Type II,CBASS Type III,CBASS Type IIv,Druantia Type III,Gabija,Gao System 20,IetAS,QatABCD,RADAR,Septu,TerY-P,Wadjet Type I,Zorya Type I
Pa2,1.62,0.6033333333333334,4.25,1.9800000000000002,2.3433333333333333,0.96,1.3466666666666667,1.6733333333333331,0.19666666666666666,14.163333333333332,1.4466666666666665,-0.12666666666666668,0.7666666666666666,0.06333333333333334,0.7400000000000001
Pa3,-0.47,-0.15,0.3666666666666667,0.8933333333333334,0.22666666666666666,0.11333333333333334,0.2333333333333333,-0.26,0.0,0.45333333333333337,-0.10999999999999999,-0.4566666666666667,2.8733333333333335,-0.49333333333333335,12.97
Pa4,0.9933333333333333,-0.02,1.0333333333333334,2.1233333333333335,0.4666666666666666,0.11333333333333334,1.27,0.88,-0.15333333333333332,1.9166666666666667,-0.05333333333333334,0.01666666666666668,3.893333333333333,-0.15666666666666668,16.82
Pa6,1.2433333333333334,0.20666666666666667,1.78,3.0766666666666667,1.5566666666666666,0.36333333333333334,1.5866666666666667,1.0166666666666666,-0.12666666666666668,1.5666666666666667,0.26,-0.29333333333333333,4.17,0.08333333333333333,15.93
Pa7,1.4666666666666668,0.36999999999999994,3.1833333333333336,0.7933333333333333,0.94,1.6333333333333335,0.6433333333333334,1.7666666666666666,0.13,16.09,14.696666666666667,0.016666666666666666,0.10666666666666667,-0.18333333333333335,0.3
Pa10,1.2566666666666666,0.5966666666666667,3.0733333333333337,1.9533333333333331,1.9533333333333334,1.1733333333333331,0.8466666666666667,2.0500000000000003,-0.1366666666666667,3.686666666666667,3.27,0.09666666666666668,0.8233333333333334,-0.16,0.5033333333333333
Pa12,0.9833333333333334,0.6866666666666666,1.9799999999999998,2.99,1.4633333333333336,3.5433333333333334,1.3499999999999999,1.9800000000000002,0.21666666666666667,16.27,5.006666666666667,0.09999999999999999,0.06666666666666667,0.15666666666666665,0.5933333333333334
Pa14,1.3866666666666667,0.31666666666666665,2.61,1.5133333333333334,0.88,1.6600000000000001,0.8866666666666667,1.9133333333333333,0.22333333333333336,16.34,5.843333333333334,-0.24333333333333332,0.10666666666666667,-0.14333333333333334,0.38999999999999996
Pa15,-0.9199999999999999,0.12333333333333331,11.17,2.3466666666666667,0.8866666666666667,0.5833333333333334,-1.0033333333333332,-1.42,-1.2,3.14,-1.05,-0.10333333333333335,-1.4033333333333333,-0.7666666666666667,9.623333333333333
Pa18,1.2266666666666668,0.016666666666666666,1.9833333333333332,3.0566666666666666,1.6966666666666665,0.32,0.27,0.23,-0.29333333333333333,1.4366666666666665,-0.053333333333333344,-0.07666666666666667,4.223333333333334,-0.10666666666666667,16.34
Pa21,0.6766666666666666,0.22666666666666666,0.9033333333333333,2.716666666666667,-0.08,1.53,0.2733333333333333,1.0433333333333332,0.07,16.87,6.873333333333334,0.10666666666666667,0.41333333333333333,0.07333333333333333,0.4766666666666666
Pa22,0.5833333333333334,-0.19999999999999998,0.9,1.42,1.0766666666666667,-0.016666666666666663,0.9166666666666666,0.5066666666666667,-0.51,0.27666666666666667,-0.44333333333333336,-0.12333333333333334,3.5033333333333334,-0.36000000000000004,15.93
Pa23,0.9433333333333334,-0.046666666666666655,2.4266666666666663,0.4666666666666666,0.12333333333333335,0.9933333333333333,0.12333333333333334,0.4466666666666667,-0.29,15.356666666666667,0.26666666666666666,-0.6566666666666666,-0.25666666666666665,-0.6366666666666667,-0.06333333333333334
Pa24,1.3266666666666667,0.36333333333333334,2.106666666666667,0.9766666666666667,0.9199999999999999,1.8633333333333333,0.8933333333333334,1.7966666666666666,0.21999999999999997,16.87,7.2299999999999995,0.016666666666666663,0.26333333333333336,-0.049999999999999996,0.19333333333333333
Pa25,0.9833333333333334,0.23333333333333336,1.5066666666666666,2.3166666666666664,1.4733333333333334,0.4766666666666666,0.6733333333333333,0.6066666666666666,-0.10333333333333335,1.46,0.04,0.010000000000000004,2.9166666666666665,0.08,16.37
Pa28,0.5033333333333333,0.2966666666666667,15.9,3.016666666666667,2.0533333333333332,0.9633333333333333,1.1500000000000001,0.37999999999999995,0.37666666666666665,4.94,0.9900000000000001,0.14,-0.16666666666666663,1.3333333333333333,15.9
Pa29,1.0200000000000002,-0.03666666666666666,1.5466666666666669,1.9833333333333334,1.0133333333333334,0.49333333333333335,1.3066666666666666,0.21,-0.04666666666666667,1.2766666666666666,0.19666666666666666,0.35333333333333333,-0.77,0.09000000000000001,16.21
Pa32,1.0233333333333332,0.5566666666666666,1.4233333333333331,0.49,0.6633333333333333,2.1733333333333333,1.1233333333333333,1.0066666666666666,0.31333333333333335,7.486666666666667,14.673333333333334,0.02666666666666666,0.2366666666666667,0.043333333333333335,0.5033333333333333
Pa33,3.25,1.5233333333333334,4.626666666666667,3.0,2.956666666666667,5.636666666666667,2.59,2.4499999999999997,0.6066666666666667,16.45,16.45,1.3800000000000001,0.82,1.2,0.4166666666666667
Pa34,0.7333333333333334,0.09999999999999999,1.57,0.06999999999999999,-0.036666666666666674,1.5033333333333332,0.31,1.78,-0.28,16.32,16.32,-0.29333333333333333,0.16333333333333333,-0.32,0.51
Pa35,0.5633333333333334,0.17333333333333334,2.8699999999999997,0.4633333333333334,0.7433333333333333,1.3733333333333333,0.9233333333333332,1.27,0.10666666666666667,15.513333333333334,15.32,-0.04666666666666666,0.16,0.019999999999999993,0.5599999999999999
Pa36,15.07,0.38666666666666666,3.5966666666666662,15.07,1.2533333333333332,0.9066666666666666,1.3133333333333332,0.6366666666666667,1.1,1.2733333333333334,0.94,0.32666666666666666,3.7999999999999994,3.52,2.953333333333333
Pa40,1.4100000000000001,-0.043333333333333335,2.5866666666666664,0.3,0.25999999999999995,1.08,0.5633333333333334,1.3133333333333332,-0.36333333333333334,2.776666666666667,0.68,-0.5666666666666667,0.27666666666666667,-0.6566666666666666,0.026666666666666655
Pa49,0.5733333333333334,0.6833333333333332,1.3933333333333333,0.49,-1.2933333333333332,0.39333333333333337,0.49666666666666665,1.09,-0.016666666666666663,16.02,15.686666666666667,-0.15666666666666665,0.5766666666666667,-0.16,0.8633333333333333
